#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2020 05 16 19 50  60  6.0  8.0   0.6     8   5.1 179 1018.8  12.4   9.6   5.3   MM +1.7    MM
2020 05 16 18 50  90  4.0  5.0   0.6     8   5.0 160 1018.6  12.3   9.4   6.6   MM +3.0    MM
2020 05 16 17 50  50  4.0  6.0   0.6     5   4.4 144 1018.0  12.1   9.2   6.6   MM +3.4    MM
2020 05 16 16 50 360  5.0  7.0   0.6     9   3.8 160 1017.1  12.1   9.1   6.3   MM +3.9    MM
2020 05 16 15 50 350  9.0 10.0   0.6     4   3.5 151 1015.6  12.7   9.2   6.0   MM +3.2    MM
2020 05 16 14 50 350  6.0  7.0   0.6     5   3.6 142 1014.6  11.9   8.8   7.0   MM +2.8    MM
2020 05 16 13 50 330  7.0  8.0   0.6     5   3.7 151 1013.2  12.1   8.8   7.8   MM +2.5    MM
2020 05 16 12 50 310  5.0  7.0   0.6     5   4.5 169 1012.4  11.9   8.7   9.1   MM +3.1    MM
2020 05 16 11 50 290  3.0  3.0   0.5     5   4.5 166 1011.8   9.2   8.6   9.2   MM +3.3    MM
2020 05 16 10 50 270  4.0  5.0   0.6     5   4.3 181 1010.7   8.8   8.5   8.8   MM +3.5    MM
2020 05 16 09 50 270  3.0  3.0   0.7     4   4.2 154 1009.3   9.0   8.5   9.0   MM +1.8    MM
2020 05 16 08 50 320  3.0  4.0   0.7     4   4.0 121 1008.5   8.9   8.6   8.9   MM +1.5    MM
2020 05 16 07 50 340  2.0  2.0   0.6     5   4.0 142 1007.2   9.0   8.8   9.0   MM +0.0    MM
2020 05 16 06 50 350  6.0  7.0   0.7     4   3.8 126 1007.5   9.0   8.8   9.0   MM -0.0    MM
2020 05 16 05 50  20  2.0  3.0   0.8     4   3.9 151 1007.0   8.5   8.8   8.5   MM -0.6    MM
2020 05 16 04 50  40  5.0  7.0   0.7     5   3.8 152 1007.1   8.5   8.9   8.5   MM -0.9    MM
2020 05 16 03 50  60  3.0  4.0   0.7     4   3.6 159 1007.3   8.6   8.9   8.6   MM +0.4    MM
2020 05 16 02 50  50  7.0  8.0   0.6     4   3.3 159 1007.6   8.8   8.9   8.8   MM -0.9    MM
